topic,term,weight
000,criticism,0.12786654
000,impulsiveness,0.07924383
000,public,0.08030789
000,indirect,0.07591509
000,humiliation,0.070660755
000,approval,0.048133764
000,solution,0.050396267
000,desire,0.030353956
000,neglect,0.030312873
000,equal,0.030283576
001,small,0.14957573
001,severity,0.07763061
001,wrong,0.07761556
001,kindness,0.07500526
001,gratitude,0.0703583
001,gain,0.06913039
001,waste,0.056474194
001,act,0.050722785
001,language,0.040499955
001,universal,0.040492315
002,make,0.15458229
002,decision,0.1282472
002,experience,0.07893745
002,waste,0.067353524
002,haste,0.0627452
002,public,0.057780705
002,significance,0.052509855
002,opinion,0.04661841
002,impact,0.041539624
002,recognize,0.041747384
003,importance,0.13727324
003,patience,0.12577385
003,time,0.099457964
003,early,0.095625095
003,expectation,0.09117814
003,intervention,0.07595837
003,misplace,0.07363771
003,base,0.038913965
003,action,0.028402299
003,habit,0.028488029
004,wealth,0.1553086
004,success,0.13664028
004,perception,0.13922954
004,material,0.07508995
004,impermanence,0.07052991
004,useless,0.0674412
004,unutilized,0.06742827
004,base,0.04889728
004,difference,0.03823247
004,judgment,0.036749765
005,role,0.18334036
005,acceptance,0.13481338
005,fear,0.08878281
005,oneâ€™s,0.08735818
005,expectation,0.09009402
005,base,0.08036476
005,success,0.07635458
005,effort,0.06593255
005,death,0.060522586
005,maintain,0.02900991
006,greed,0.1741957
006,loss,0.13601832
006,danger,0.13336052
006,envy,0.087310046
006,lead,0.08062728
006,harmful,0.064740226
006,effect,0.06414189
006,cry,0.04526215
006,wolf,0.04524588
006,deal,0.03582695
007,nature,0.17479676
007,power,0.22968727
007,understand,0.09756278
007,excuse,0.078969724
007,teacher,0.06948165
007,unexpected,0.06938253
007,deceptive,0.06864238
007,annoyance,0.05376197
007,fragile,0.04357214
007,predatory,0.04357214
008,weakness,0.18733124
008,vulnerability,0.13408989
008,recognize,0.120205246
008,respect,0.09557242
008,compensate,0.08924355
008,peril,0.08675486
008,maintain,0.06338106
008,sacrifice,0.042692393
008,love,0.042675164
008,experience,0.04261914
009,understand,0.26182893
009,one's,0.1567131
009,adversary,0.12035162
009,adaptation,0.07545319
009,predator,0.07540809
009,beware,0.07512738
009,aid,0.07201412
009,predicament,0.03415589
009,ability,0.026411295
009,appreciate,0.02118775
010,social,0.20340861
010,signal,0.124484144
010,misunderstand,0.10657059
010,conformity,0.10142129
010,pressure,0.10137643
010,consequence,0.10055768
010,deception,0.06569125
010,actual,0.049783573
010,perceive,0.049585573
010,status,0.04408386
011,term,0.25245568
011,long,0.18956037
011,gain,0.16913901
011,short,0.083664455
011,gratification,0.060875345
011,consequence,0.053679712
011,effect,0.04913103
011,negligence,0.04506771
011,loss,0.034822475
011,gratitude,0.026621766
012,external,0.18108198
012,appearance,0.16473229
012,reality,0.12555772
012,worth,0.10922166
012,discrepancy,0.09097067
012,solution,0.089384094
012,internal,0.08518442
012,hardship,0.04513307
012,struggle,0.04496988
012,indirect,0.02908575
013,aesthetic,0.17940947
013,preference,0.17385201
013,ageism,0.119877666
013,perception,0.124011844
013,individual,0.092622265
013,value,0.09230012
013,difference,0.091634564
013,judgment,0.04294079
013,base,0.028349718
013,wealth,0.02046061
014,false,0.22022687
014,security,0.14600392
014,sense,0.1061887
014,excuse,0.107292935
014,pride,0.09489976
014,promise,0.08809002
014,vanity,0.08791114
014,price,0.048810847
014,comfort,0.048761655
014,inevitable,0.018667867
015,threat,0.3019292
015,perceive,0.107161276
015,actual,0.107059814
015,scale,0.09822076
015,vigilance,0.0982092
015,response,0.09818914
015,potential,0.098091625
015,act,0.024432344
015,early,0.025706671
015,recognize,0.026499528
016,balance,0.21421728
016,assertiveness,0.13637179
016,leisure,0.13636222
016,work,0.13633533
016,consideration,0.13630418
016,embarrassment,0.0161657
016,deal,0.015815157
016,identity,0.016210418
016,injustice,0.012680968
016,silence,0.0122699095
017,outcome,0.21925193
017,peace,0.13735239
017,ideal,0.13707514
017,fatalism,0.13701054
017,unavoidable,0.13693012
017,appreciate,0.025604675
017,regularity,0.020656465
017,consistency,0.020629153
017,ability,0.014148957
017,solution,0.018814705
018,unfair,0.20002326
018,rationalization,0.19818692
018,advantage,0.13870578
018,complicity,0.10694218
018,system,0.10690046
018,grape,0.10018266
018,sour,0.09997917
018,acceptance,0.021340005
018,severity,0.008187836
018,wrong,0.008135404
019,life,0.21161133
019,rural,0.13577558
019,lesson,0.13565923
019,urban,0.13545814
019,impart,0.13546225
019,adversary,0.04290888
019,nature,0.042948075
019,greed,0.028522613
019,responsibility,0.01420702
019,aid,0.01444843
020,relationship,0.21294162
020,human,0.2081311
020,deity,0.14388295
020,animal,0.10746369
020,instinct,0.107405685
020,quantity,0.105048366
020,quality,0.104904346
020,reality,0.010222248
021,solve,0.22173275
021,problem,0.21908498
021,idea,0.15273003
021,persistence,0.14827201
021,generation,0.09245564
021,implementation,0.072265126
021,execution,0.07218567
022,power,1.0
023,power,1.0
024,dynamic,0.25047517
024,nature,0.09028684
024,indirect,0.055327784
024,early,0.05478796
024,signal,0.052249387
024,approval,0.049255926
024,word,0.03435079
024,structure,0.033015218
024,inequity,0.03226703
024,habit,0.031365074
